CASE_NUMBER,DATE,BLOCK,COMMUNITY_AREA,AGE,SEX,RACE,INCIDENT_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
JF515491,12/18/2022 08:48:00 PM,8900 S ASHLAND AVE,WASHINGTON HEIGHTS,0-19,M,BLK,AGGRAVATED - HANDGUN,12,1,20,STREET,41.7321931,-87.66253094,POINT (-87.662530941301 41.732193095858)
JF515493,12/18/2022 08:30:00 PM,5900 W ADDISON ST,PORTAGE PARK,30-39,M,WWH,AGGRAVATED - HANDGUN,12,1,20,DEPARTMENT STORE,41.94548165,-87.77501465,POINT (-87.77501465388 41.945481654142)
JF515437,12/18/2022 07:37:00 PM,3100 W 25TH ST,SOUTH LAWNDALE,20-29,M,WWH,AGGRAVATED - HANDGUN,12,1,19,STREET,41.84605165,-87.70449535,POINT (-87.70449534612 41.846051654142)
JF515437,12/18/2022 07:37:00 PM,3100 W 25TH ST,SOUTH LAWNDALE,20-29,F,WWH,AGGRAVATED - HANDGUN,12,1,19,STREET,41.84605165,-87.70449535,POINT (-87.70449534612 41.846051654142)
JF515325,12/18/2022 05:30:00 PM,3000 E 80TH ST,SOUTH CHICAGO,20-29,M,BLK,AGGRAVATED - HANDGUN,12,1,17,SIDEWALK,41.7494005,-87.55107,POINT (-87.55107 41.7494005)
JF515181,12/18/2022 03:42:00 PM,13200 S CARONDOLET AVE,HEGEWISCH,30-39,M,WWH,AGGRAVATED - HANDGUN,12,1,15,SIDEWALK,41.65521911,-87.54903097,POINT (-87.549030971301 41.655219107858)
JF514599,12/18/2022 02:05:00 AM,100 W CERMAK RD,ARMOUR SQUARE,0-19,M,BLK,AGGRAVATED - HANDGUN,12,1,2,CTA TRAIN,41.8534731,-87.63121906,POINT (-87.631219058699 41.853473095858)
JF514503,12/17/2022 11:35:00 PM,100 W ADAMS ST,LOOP,0-19,M,BLK,AGGRAVATED - HANDGUN,12,7,23,SIDEWALK,41.87931165,-87.63273465,POINT (-87.63273465388 41.879311654142)
JF514288,12/17/2022 06:25:00 PM,2400 W MADISON ST,NEAR WEST SIDE,20-29,M,BLK,AGGRAVATED - HANDGUN,12,7,18,STREET,41.88144835,-87.68803535,POINT (-87.68803534612 41.881448345858)
JF513595,12/17/2022 02:45:00 AM,200 E MARQUETTE RD,GREATER GRAND CROSSING,30-39,M,BLK,AGGRAVATED - HANDGUN,12,7,2,STREET,41.7723805,-87.62013,POINT (-87.62013 41.7723805)
JF513461,12/17/2022 12:06:00 AM,700 W CHICAGO AVE,WEST TOWN,30-39,M,BLK,AGGRAVATED - HANDGUN,12,7,0,STREET,41.8970031,-87.64677094,POINT (-87.646770941301 41.897003095858)
JF513212,12/16/2022 05:58:00 PM,600 E 44TH ST,GRAND BOULEVARD,20-29,M,BLK,AGGRAVATED - HANDGUN,12,6,17,VEHICLE NON-COMMERCIAL,41.81502835,-87.60898465,POINT (-87.60898465388 41.815028345858)
JF513150,12/16/2022 05:54:00 PM,100 N OAKLEY BLVD,NEAR WEST SIDE,0-19,M,BLK,FIRST DEGREE MURDER,12,6,17,PORCH,41.88475967,-87.68375855,POINT (-87.683758547471 41.884759668947)
JF513150,12/16/2022 05:54:00 PM,100 N OAKLEY BLVD,NEAR WEST SIDE,0-19,F,BLK,FIRST DEGREE MURDER,12,6,17,PORCH,41.88475967,-87.68375855,POINT (-87.683758547471 41.884759668947)
JF512979,12/16/2022 03:41:00 PM,1800 W 78TH ST,AUBURN GRESHAM,20-29,M,BLK,AGGRAVATED - HANDGUN,12,6,15,SIDEWALK,41.7527131,-87.66902906,POINT (-87.669029058699 41.752713095858)
JF512873,12/16/2022 02:38:00 PM,2100 S LAFLIN ST,LOWER WEST SIDE,0-19,F,WWH,FIRST DEGREE MURDER,12,6,14,SCHOOL YARD,41.85250165,-87.66333465,POINT (-87.66333465388 41.852501654142)
JF512873,12/16/2022 02:38:00 PM,2100 S LAFLIN ST,LOWER WEST SIDE,0-19,M,WWH,FIRST DEGREE MURDER,12,6,14,SCHOOL YARD,41.85250165,-87.66333465,POINT (-87.66333465388 41.852501654142)
JF512873,12/16/2022 02:38:00 PM,2100 S LAFLIN ST,LOWER WEST SIDE,0-19,M,WWH,FIRST DEGREE MURDER,12,6,14,SCHOOL YARD,41.85250165,-87.66333465,POINT (-87.66333465388 41.852501654142)
JF512873,12/16/2022 02:38:00 PM,2100 S LAFLIN ST,LOWER WEST SIDE,0-19,M,WWH,FIRST DEGREE MURDER,12,6,14,SCHOOL YARD,41.85250165,-87.66333465,POINT (-87.66333465388 41.852501654142)
JF512837,12/16/2022 02:29:00 PM,1900 W JACKSON BLVD,NEAR WEST SIDE,20-29,F,WWH,FIRST DEGREE MURDER,12,6,14,STREET,41.87717165,-87.67674535,POINT (-87.67674534612 41.877171654142)
JF512837,12/16/2022 02:29:00 PM,1900 W JACKSON BLVD,NEAR WEST SIDE,30-39,M,BLK,FIRST DEGREE MURDER,12,6,14,STREET,41.87717165,-87.67674535,POINT (-87.67674534612 41.877171654142)
JF511602,12/15/2022 01:58:00 PM,3500 W ROOSEVELT RD,NORTH LAWNDALE,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,13,STREET,41.86660835,-87.71286465,POINT (-87.71286465388 41.866608345858)
JF511525,12/15/2022 12:43:00 PM,800 N ST LOUIS AVE,HUMBOLDT PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,12,SIDEWALK,41.8964605,-87.71407,POINT (-87.71407 41.8964605)
JF511525,12/15/2022 12:43:00 PM,800 N ST LOUIS AVE,HUMBOLDT PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,12,5,12,SIDEWALK,41.8964605,-87.71407,POINT (-87.71407 41.8964605)
